estado,num_muestra,corte,candidato,LI,LS
COAH,1,50,PART,55.56283940434077,57.4390096099121
COAH,1,50,CAND_1,38.16473047587168,40.86141741827892
COAH,1,50,CAND_0,33.51147943925145,36.06686553730578
COAH,1,50,CAND_4,11.471854995095194,12.599276068127102
COAH,1,50,CAND_5,7.725113990902024,9.213680646601482
COAH,1,50,CAND_2,1.5290679496571427,2.1080473716572445
COAH,1,50,OTROS,1.6197879196170504,1.9101612410493318
COAH,1,50,CAND_3,1.4810811504192845,1.7374357961663194
COAH,1,75,PART,55.448837048112935,56.772916074876036
COAH,1,75,CAND_1,38.02559788460476,40.23848145327123
COAH,1,75,CAND_0,33.72679531727253,35.9479773810786
COAH,1,75,CAND_4,11.797041761192872,12.999190660988187
COAH,1,75,CAND_5,7.937430675882323,9.135437211773072
COAH,1,75,OTROS,1.6591922366229137,1.8765046495925843
COAH,1,75,CAND_2,1.4979219923216234,1.9679428581752951
COAH,1,75,CAND_3,1.4794863695674918,1.7109995476565096
COAH,1,90,PART,55.77521983346414,57.08511566247109
COAH,1,90,CAND_1,37.3402245445091,39.81297807234321
COAH,1,90,CAND_0,34.27946323757943,36.56625951865755
COAH,1,90,CAND_4,11.764377855594923,12.835693010139149
COAH,1,90,CAND_5,8.047242757971174,9.17896253305412
COAH,1,90,OTROS,1.6784476728310151,1.88686360468918
COAH,1,90,CAND_2,1.5146220981258867,1.9626635864079818
COAH,1,90,CAND_3,1.4595388209114675,1.6726626871857926
COAH,1,100,PART,55.970999962022546,57.16174512985093
COAH,1,100,CAND_1,37.723803580559505,39.95783815678577
COAH,1,100,CAND_0,34.305014586489385,36.41862299613492
COAH,1,100,CAND_4,11.838491823547372,12.573098652621642
COAH,1,100,CAND_5,7.99566971441203,8.874053724573896
COAH,1,100,OTROS,1.7259265230169398,1.975515458859582
COAH,1,100,CAND_2,1.5326926584843972,1.9431434220148631
COAH,1,100,CAND_3,1.4770268211279516,1.6591018813717275
COAH,2,50,PART,55.478642714270286,57.32834890660852
COAH,2,50,CAND_1,36.75557448071505,39.507402826826116
COAH,2,50,CAND_0,34.76628956973089,37.18614272558706
COAH,2,50,CAND_4,12.416679027886877,13.447834565505387
COAH,2,50,CAND_5,7.455459259428967,8.50069801139326
COAH,2,50,OTROS,1.5716011628925597,1.843764103691894
COAH,2,50,CAND_2,1.4569844326077455,1.9400887410192045
COAH,2,50,CAND_3,1.3885534933878272,1.7629275993271654
COAH,2,75,PART,55.90742838357207,57.081029254461285
COAH,2,75,CAND_1,37.48186907623045,39.783889196565525
COAH,2,75,CAND_0,34.24666153807769,36.440244245025426
COAH,2,75,CAND_4,12.103197301014811,13.05810293535792
COAH,2,75,CAND_5,7.7275560607463545,9.04493696281171
COAH,2,75,CAND_2,1.5120667473267595,1.9955395396702569
COAH,2,75,OTROS,1.5960348722289515,1.8033701352332192
COAH,2,75,CAND_3,1.44358642820806,1.7629449615028405
COAH,2,90,PART,55.93580741531586,57.14126768925744
COAH,2,90,CAND_1,37.97224409027335,40.05434973549298
COAH,2,90,CAND_0,34.773891046821255,36.54818504495301
COAH,2,90,CAND_4,11.748718470368596,12.539355264423433
COAH,2,90,CAND_5,7.707782626885032,8.596490535679186
COAH,2,90,OTROS,1.640326815563046,1.7870005199684327
COAH,2,90,CAND_2,1.5292281365401212,1.865875184590215
COAH,2,90,CAND_3,1.4507221689745067,1.7858303594668246
COAH,2,100,PART,55.923483388525426,57.135405316255785
COAH,2,100,CAND_1,37.899522529955185,40.736354141836706
COAH,2,100,CAND_0,34.3776885120115,36.688911719911474
COAH,2,100,CAND_4,11.695187141297911,12.392579889838714
COAH,2,100,CAND_5,7.5527271781680945,8.589139372977318
COAH,2,100,OTROS,1.6522602131650497,1.83809334028361
COAH,2,100,CAND_2,1.5385412132683842,1.8543470915074218
COAH,2,100,CAND_3,1.4249215936096802,1.7597260621689588
COAH,3,50,PART,55.67875156301825,57.37818423049862
COAH,3,50,CAND_1,39.400801019487645,41.88494259000335
COAH,3,50,CAND_0,32.78119363636653,35.01563071856267
COAH,3,50,CAND_4,11.409481035193565,12.558785552247254
COAH,3,50,CAND_5,7.4355370734603845,8.68429930171028
COAH,3,50,OTROS,1.798986176382765,2.0761943680476027
COAH,3,50,CAND_2,1.6322881479086848,2.0921808927754064
COAH,3,50,CAND_3,1.468123165828396,1.7615563220254649
COAH,3,75,PART,55.768892390191,57.19341424190115
COAH,3,75,CAND_1,38.40159989240341,41.259904656294395
COAH,3,75,CAND_0,33.546356695015284,35.69591849370766
COAH,3,75,CAND_4,11.508720643784482,12.330523982612284
COAH,3,75,CAND_5,7.685838196934456,8.994766704532578
COAH,3,75,OTROS,1.773461019516902,2.0907342012850485
COAH,3,75,CAND_2,1.5718985102171439,1.94923314618878
COAH,3,75,CAND_3,1.4875633277811182,1.703480529726437
COAH,3,90,PART,56.176509892757544,57.37430282067218
COAH,3,90,CAND_1,38.39558938849282,40.74299922031551
COAH,3,90,CAND_0,34.0105505357931,36.006781010479315
COAH,3,90,CAND_4,11.388060699588138,12.528696398228014
COAH,3,90,CAND_5,7.817481223400578,8.711051798870807
COAH,3,90,OTROS,1.8011967914609115,2.0357019892851094
COAH,3,90,CAND_2,1.538681909254847,1.8918951430738682
COAH,3,90,CAND_3,1.4853186929863296,1.6459951987706476
COAH,3,100,PART,56.359196580351004,57.581717325252505
COAH,3,100,CAND_1,38.11069017003752,39.944741823827904
COAH,3,100,CAND_0,34.529429280983265,36.47248196145726
COAH,3,100,CAND_4,11.479961407339038,12.44529212979421
COAH,3,100,CAND_5,7.893954378372766,8.81699955096295
COAH,3,100,OTROS,1.810996037168314,1.99800253548884
COAH,3,100,CAND_2,1.5611231029081813,1.8549668425452586
COAH,3,100,CAND_3,1.4501693285214683,1.6311914505930136
COAH,4,50,PART,56.17614739390108,57.933626057758254
COAH,4,50,CAND_1,38.33876864379297,41.20318828928321
COAH,4,50,CAND_0,33.66384858627431,36.44355347917572
COAH,4,50,CAND_4,11.48233336876796,12.612722624511502
COAH,4,50,CAND_5,7.49805140507522,8.755382118570637
COAH,4,50,CAND_2,1.5473542472887531,2.0305305705814214
COAH,4,50,OTROS,1.5554137324943882,1.8733692567181983
COAH,4,50,CAND_3,1.3824763235798347,1.6130073538858658
COAH,4,75,PART,56.169498113476145,57.476112251398796
COAH,4,75,CAND_1,38.44806554592291,40.78712698792376
COAH,4,75,CAND_0,34.44816280433562,36.22466119635424
COAH,4,75,CAND_4,11.596031147545988,12.643110660218968
COAH,4,75,CAND_5,7.37103506332749,8.478567725923131
COAH,4,75,OTROS,1.6591897624596845,1.8939149838907452
COAH,4,75,CAND_2,1.53996638782299,1.9280013624736703
COAH,4,75,CAND_3,1.3772574247825542,1.6049089470182545
COAH,4,90,PART,55.976260574029155,57.18483355425923
COAH,4,90,CAND_1,38.2412271597591,40.41030101915651
COAH,4,90,CAND_0,34.33097025294624,36.3870420455663
