estado,num_muestra,corte,candidato,LI,LS
MEX,1,50,PART,53.10223233037715,54.479631792812484
MEX,1,50,CAND_1,33.08739939292032,34.993018648660964
MEX,1,50,CAND_4,30.405168470676216,32.136124690830016
MEX,1,50,CAND_2,16.77759968832297,17.99742351141911
MEX,1,50,CAND_0,10.694787953818587,11.673402566714703
MEX,1,50,OTROS,2.78111014395634,3.068105630736289
MEX,1,50,CAND_5,2.053130519878137,2.2795938066942276
MEX,1,50,CAND_3,0.9401031982602324,1.1130317771118765
MEX,1,75,PART,53.020530348302195,54.366839335156165
MEX,1,75,CAND_1,33.36130107318217,34.86533244890877
MEX,1,75,CAND_4,30.71502724635828,31.833449647762013
MEX,1,75,CAND_2,16.804655249854047,17.975173828739198
MEX,1,75,CAND_0,10.64666222536644,11.538620145225389
MEX,1,75,OTROS,2.814198140583811,3.0851393068884687
MEX,1,75,CAND_5,2.0184862641248165,2.205511653761513
MEX,1,75,CAND_3,1.002248573825621,1.134194195419481
MEX,1,90,PART,53.174990191792496,54.37690228258317
MEX,1,90,CAND_1,33.43239159725292,34.80288239754049
MEX,1,90,CAND_4,30.40746977739762,31.606848344542552
MEX,1,90,CAND_2,17.033338410609648,18.111886350789757
MEX,1,90,CAND_0,10.718066006514446,11.592142481341183
MEX,1,90,OTROS,2.8764022294344778,3.078206150775013
MEX,1,90,CAND_5,2.027358245090676,2.179741542149741
MEX,1,90,CAND_3,0.9971492118430587,1.1361172547184213
MEX,1,100,PART,52.98435537780277,54.334003195145726
MEX,1,100,CAND_1,33.4073425210893,34.68650543532308
MEX,1,100,CAND_4,30.350677619947337,31.65072972142544
MEX,1,100,CAND_2,17.243585091868113,18.20128249616262
MEX,1,100,CAND_0,10.66150450712395,11.486610064246445
MEX,1,100,OTROS,2.8796689593234643,3.0779840762256563
MEX,1,100,CAND_5,2.034459592174488,2.1901279822953486
MEX,1,100,CAND_3,0.997347331806382,1.1321746009883793
MEX,2,50,PART,52.57665622880271,54.10129109537311
MEX,2,50,CAND_1,32.73851894790702,34.18502185109633
MEX,2,50,CAND_4,30.207504960232935,31.81636441225756
MEX,2,50,CAND_2,17.227003794891864,18.676049440271633
MEX,2,50,CAND_0,10.750195229479402,11.720937065916583
MEX,2,50,OTROS,2.9136205169312994,3.1776809851459236
MEX,2,50,CAND_5,2.083469031980942,2.3119493246351843
MEX,2,50,CAND_3,1.0062498763781376,1.1854345628751926
MEX,2,75,PART,53.2697079981642,54.56219684772619
MEX,2,75,CAND_1,32.94503230617043,34.251337419908694
MEX,2,75,CAND_4,30.416740367006263,31.618432485228126
MEX,2,75,CAND_2,17.24120186501109,18.304843251370396
MEX,2,75,CAND_0,10.831920379498118,11.775450514559083
MEX,2,75,OTROS,2.926666712983811,3.160128565094807
MEX,2,75,CAND_5,2.0429464046088834,2.2029498391762243
MEX,2,75,CAND_3,1.0340248932933154,1.2483249960907505
MEX,2,90,PART,53.21295627352915,54.48671104100014
MEX,2,90,CAND_1,32.81023055456931,34.013500925861415
MEX,2,90,CAND_4,30.466702715048743,31.580931940617052
MEX,2,90,CAND_2,17.388825096605785,18.368094844935626
MEX,2,90,CAND_0,11.035432895094521,11.79712216901161
MEX,2,90,OTROS,2.9052555195444665,3.1176607411387858
MEX,2,90,CAND_5,2.057135640602428,2.234058691615774
MEX,2,90,CAND_3,1.0212499339802903,1.2037983313741878
MEX,2,100,PART,53.313111538713834,54.354274101925135
MEX,2,100,CAND_1,32.82890282754881,33.906741310483206
MEX,2,100,CAND_4,30.484799152140763,31.450926546931395
MEX,2,100,CAND_2,17.641335349981535,18.504191538559812
MEX,2,100,CAND_0,11.013362527457394,11.651785031195258
MEX,2,100,OTROS,2.923206796988793,3.10410028697313
MEX,2,100,CAND_5,2.057639032736639,2.209843506667392
MEX,2,100,CAND_3,1.0330343355417604,1.1901317567941252
MEX,3,50,PART,52.91062174379796,55.29170782003331
MEX,3,50,CAND_1,32.83675013873138,34.59373091278176
MEX,3,50,CAND_4,29.75349715233183,31.18595216464858
MEX,3,50,CAND_2,17.205321911384104,18.517188189137663
MEX,3,50,CAND_0,11.166673885028066,12.18532284530121
MEX,3,50,OTROS,2.8444746721196696,3.0946763712453564
MEX,3,50,CAND_5,2.107897135815976,2.3186771772655956
MEX,3,50,CAND_3,1.0066674273226777,1.1831700168861359
MEX,3,75,PART,52.77139713179365,54.18897479312807
MEX,3,75,CAND_1,32.72620003510056,34.02762171589427
MEX,3,75,CAND_4,30.207489984351657,31.438564870079144
MEX,3,75,CAND_2,17.645094692358168,18.6385010466611
MEX,3,75,CAND_0,11.059875054143529,11.854426473650793
MEX,3,75,OTROS,2.855422685159942,3.0767240875125577
MEX,3,75,CAND_5,2.0953106613894277,2.2584442365301505
MEX,3,75,CAND_3,0.9932742563768046,1.123050200791885
MEX,3,90,PART,52.85703399335668,54.2087704033173
MEX,3,90,CAND_1,32.79560193104913,33.83331260217445
MEX,3,90,CAND_4,30.359434753266527,31.55499784376952
MEX,3,90,CAND_2,17.67617838863427,18.70775055700811
MEX,3,90,CAND_0,10.944946325663366,11.840434322025462
MEX,3,90,OTROS,2.8421288713371835,3.0557728553229877
MEX,3,90,CAND_5,2.040020201326275,2.2289863904701797
MEX,3,90,CAND_3,1.0068791510911872,1.1135558068613562
MEX,3,100,PART,53.060759011800606,54.161478146080306
MEX,3,100,CAND_1,32.5079669081687,33.87591117174705
MEX,3,100,CAND_4,30.518372874621754,31.65796337292624
MEX,3,100,CAND_2,17.65529002775463,18.62066326000938
MEX,3,100,CAND_0,10.980179740483484,11.879431573823167
MEX,3,100,OTROS,2.8322266309806254,3.0553472665265202
MEX,3,100,CAND_5,2.034300846893064,2.197626988837454
MEX,3,100,CAND_3,1.0194816075049407,1.165237729722988
MEX,4,50,PART,53.23462895290365,55.583579920485064
MEX,4,50,CAND_1,33.35131010380648,34.8230403109587
MEX,4,50,CAND_4,30.64305907086833,32.186624154766164
MEX,4,50,CAND_2,16.972216925925057,18.18929532924764
MEX,4,50,CAND_0,10.130338015531278,11.176127263597229
MEX,4,50,OTROS,2.8735132418532263,3.1856810369174555
MEX,4,50,CAND_5,2.0256216569482866,2.271743640504574
MEX,4,50,CAND_3,0.9841096107202933,1.1873196383552924
MEX,4,75,PART,53.246971143252644,55.085096527416276
MEX,4,75,CAND_1,33.328771111576316,34.66168668905688
MEX,4,75,CAND_4,30.770086688744122,31.990642806086612
MEX,4,75,CAND_2,17.0761168920215,18.106290716178865
MEX,4,75,CAND_0,10.384722670273813,11.286683492810251
MEX,4,75,OTROS,2.892453251945943,3.154739531165135
MEX,4,75,CAND_5,2.0340611648042852,2.208386843390609
MEX,4,75,CAND_3,0.9809478325047857,1.1244103094408928
MEX,4,90,PART,53.249479874804116,54.863543306533124
MEX,4,90,CAND_1,33.41414229931796,34.541456046211664
MEX,4,90,CAND_4,30.729925770642264,31.87304068849129
MEX,4,90,CAND_2,17.173639860455328,18.104122374976686
MEX,4,90,CAND_0,10.410857746043787,11.317236980328426
MEX,4,90,OTROS,2.91652458682612,3.129909653758058
MEX,4,90,CAND_5,2.049100096932302,2.207356675399869
MEX,4,90,CAND_3,1.0038514566335601,1.1288357639827018
MEX,4,100,PART,53.253957652112064,54.9624827270995
MEX,4,100,CAND_1,33.341039042904306,34.40361118275289
MEX,4,100,CAND_4,30.87161316248261,31.916119116309282
MEX,4,100,CAND_2,17.175554757189737,18.144428540690548
MEX,4,100,CAND_0,10.536189841625587,11.226397163500357
MEX,4,100,OTROS,2.89263924763054,3.1194522653659877
MEX,4,100,CAND_5,2.057218578210038,2.2094910018916734
MEX,4,100,CAND_3,0.9795122841437218,1.126733815302724
MEX,5,50,PART,52.72477724299939,54.127610336526836
MEX,5,50,CAND_1,33.60467613385041,35.51516218064649
MEX,5,50,CAND_4,29.416225439081813,30.71904217968963
MEX,5,50,CAND_2,17.576011420874575,18.90963177508667
MEX,5,50,CAND_0,10.280359059724658,11.447859214564199
MEX,5,50,OTROS,2.948989805116328,3.2326156180371064
MEX,5,50,CAND_5,2.011729649574278,2.2399122345086218
MEX,5,50,CAND_3,0.9733896641255039,1.124395625119723
MEX,5,75,PART,53.05064868877078,54.33324032176151
MEX,5,75,CAND_1,33.466881618439395,34.891234145346395
MEX,5,75,CAND_4,29.91105729240544,31.25597914343454
MEX,5,75,CAND_2,17.57788200301511,18.741078401589224
MEX,5,75,CAND_0,10.283912627145416,11.216307371327858
MEX,5,75,OTROS,2.9980679875386396,3.2291126236665533
MEX,5,75,CAND_5,2.063067056952807,2.257318491079632
MEX,5,75,CAND_3,0.9787486645201325,1.1293525735388763
MEX,5,90,PART,53.482016506158025,54.84815501529766
MEX,5,90,CAND_1,33.31600299346603,34.5973817106601
MEX,5,90,CAND_4,30.295579501545657,31.388822183934305
MEX,5,90,CAND_2,17.533959772035377,18.682485761797732
MEX,5,90,CAND_0,10.3356274981113,11.235626830914761
MEX,5,90,OTROS,2.979019702656788,3.2343822661171044
MEX,5,90,CAND_5,2.0605239864133376,2.2274249078952844
MEX,5,90,CAND_3,1.010826965144535,1.102335919307692
MEX,5,100,PART,53.63416982753885,54.920664703062705
MEX,5,100,CAND_1,33.4471800212083,34.682443939830975
MEX,5,100,CAND_4,30.102675769640896,31.15676940635214
MEX,5,100,CAND_2,17.57890897501899,18.601104199848635
MEX,5,100,CAND_0,10.57776598350261,11.32297801037185
MEX,5,100,OTROS,2.95884736844029,3.192248031580714
MEX,5,100,CAND_5,2.065443069652083,2.2027289212366523
MEX,5,100,CAND_3,1.0109586066333431,1.099947696682491
MEX,6,50,PART,52.50626970588344,55.311505418350606
MEX,6,50,CAND_1,32.51311599423572,34.306170254545734
MEX,6,50,CAND_4,30.563169271762256,32.28686849189201
MEX,6,50,CAND_2,17.195443724950298,18.723650620785232
MEX,6,50,CAND_0,10.588250788196763,11.718391526341978
MEX,6,50,OTROS,2.7493537940109483,2.994984023521622
MEX,6,50,CAND_5,2.034687860389866,2.252986558227855
MEX,6,50,CAND_3,0.9247799629432003,1.148147128196515
MEX,6,75,PART,53.192569630771075,55.12027251619374
MEX,6,75,CAND_1,32.631447956929925,34.131980360645876
MEX,6,75,CAND_4,30.838455972579027,32.0515489518298
MEX,6,75,CAND_2,17.509112168941574,18.509815903094175
MEX,6,75,CAND_0,10.65573294969939,11.429660460383898
MEX,6,75,OTROS,2.814978710554363,3.0562207346178916
MEX,6,75,CAND_5,2.057978475899003,2.2159414814947658
MEX,6,75,CAND_3,0.9669847448988192,1.1301411284314815
MEX,6,90,PART,53.142016669891476,54.92457858277014
MEX,6,90,CAND_1,33.14276561099839,34.40022730402247
MEX,6,90,CAND_4,30.59686237647726,31.740958144840533
MEX,6,90,CAND_2,17.437163526852526,18.385731809535454
MEX,6,90,CAND_0,10.66085607098546,11.358853707649189
MEX,6,90,OTROS,2.8685051331462583,3.08629547106956
MEX,6,90,CAND_5,2.0301713309427565,2.1862266905052787
MEX,6,90,CAND_3,0.9673315314942957,1.1380512914805838
MEX,6,100,PART,53.21576326410078,55.06175170396278
MEX,6,100,CAND_1,33.28261514761266,34.40585597938971
MEX,6,100,CAND_4,30.614580810589338,31.691829626910632
MEX,6,100,CAND_2,17.426225880031662,18.33836866736679
MEX,6,100,CAND_0,10.596906692688275,11.355219812974205
MEX,6,100,OTROS,2.8755020544872525,3.103943337106075
MEX,6,100,CAND_5,2.021240734875992,2.1799976572430277
MEX,6,100,CAND_3,0.9877153717563736,1.1199982269680075
MEX,7,50,PART,52.2108425633792,54.07312457175283
MEX,7,50,CAND_1,33.331096541145556,34.98730261099932
MEX,7,50,CAND_4,29.81106836383876,31.18288155203989
MEX,7,50,CAND_2,17.232703013862363,18.549053614485864
MEX,7,50,CAND_0,10.644633540964334,11.764753672595306
MEX,7,50,OTROS,2.9768420086638274,3.206768029444932
MEX,7,50,CAND_5,1.921684474383818,2.159449477295406
MEX,7,50,CAND_3,1.0253947624346293,1.2063683378459744
MEX,7,75,PART,52.380071369405734,53.774244672014994
MEX,7,75,CAND_1,33.31992568460589,34.81521857659014
MEX,7,75,CAND_4,29.97607875235614,31.39035037672002
MEX,7,75,CAND_2,17.341044361234953,18.519009165422606
MEX,7,75,CAND_0,10.631472258549586,11.600169720746123
MEX,7,75,OTROS,2.9065607982695143,3.121579032161228
MEX,7,75,CAND_5,2.0158283513527833,2.212692816439443
MEX,7,75,CAND_3,1.0062936558354705,1.1437764497161018
MEX,7,90,PART,52.69544730092788,53.941444546839406
MEX,7,90,CAND_1,33.31501642832556,34.40816415651123
MEX,7,90,CAND_4,30.3345988850106,31.2806862016388
MEX,7,90,CAND_2,17.487260866172956,18.556862432014366
MEX,7,90,CAND_0,10.73756569953971,11.629465093336007
MEX,7,90,OTROS,2.8838158177338817,3.0732122889419085
MEX,7,90,CAND_5,2.0309047032451386,2.1745476494172196
MEX,7,90,CAND_3,0.971514558206913,1.116385219905704
MEX,7,100,PART,52.92223968886275,54.07075782490505
MEX,7,100,CAND_1,33.33745093458338,34.64112585412945
MEX,7,100,CAND_4,30.247537732835134,31.340672687756253
MEX,7,100,CAND_2,17.556894353659253,18.526243444725303
MEX,7,100,CAND_0,10.658547302487108,11.488890870715231
MEX,7,100,OTROS,2.8806496013370433,3.057202046292576
MEX,7,100,CAND_5,2.004108606666597,2.167469782730904
MEX,7,100,CAND_3,0.9815062052558978,1.1117005768258659
MEX,8,50,PART,52.355267745185486,53.81359656409471
MEX,8,50,CAND_1,31.65311362763322,33.46199438488832
MEX,8,50,CAND_4,30.646532137626476,32.38269455530239
MEX,8,50,CAND_2,17.4216807077418,18.611933601326747
MEX,8,50,CAND_0,11.144743358791535,12.256069256288908
MEX,8,50,OTROS,2.8308294266748364,3.122389534038801
MEX,8,50,CAND_5,2.063481508613155,2.2894246361913404
MEX,8,50,CAND_3,0.9874734606304331,1.127639804252046
MEX,8,75,PART,52.777208346299325,53.90154999940466
MEX,8,75,CAND_1,32.20210414541793,33.49413283636223
MEX,8,75,CAND_4,30.92586865368566,32.10067824592344
MEX,8,75,CAND_2,17.416492668149814,18.501228432881888
MEX,8,75,CAND_0,10.950781823395664,11.933823469549028
MEX,8,75,OTROS,2.84547390144573,3.0615400674016837
MEX,8,75,CAND_5,2.1184512366404396,2.274628445850079
MEX,8,75,CAND_3,1.0220729333633811,1.1527231399330355
MEX,8,90,PART,52.67719869726862,53.87881049143709
MEX,8,90,CAND_1,32.483499886497036,33.646334117771154
MEX,8,90,CAND_4,31.12337449976751,32.04088337817822
MEX,8,90,CAND_2,17.36243311094183,18.242635356961642
MEX,8,90,CAND_0,10.879533016420153,11.785498650544435
MEX,8,90,OTROS,2.845065584979308,3.0674116576687527
MEX,8,90,CAND_5,2.068199867053532,2.231247829921906
MEX,8,90,CAND_3,1.0593219095779731,1.1645611337165396
MEX,8,100,PART,52.95798831534404,53.7994669511894
MEX,8,100,CAND_1,32.68298774724691,33.57720613849558
MEX,8,100,CAND_4,31.062578973722427,31.992543215453782
MEX,8,100,CAND_2,17.375064988003757,18.166864849137603
MEX,8,100,CAND_0,10.991466384991536,11.736228657802148
MEX,8,100,OTROS,2.8850609450493345,3.054904390111012
MEX,8,100,CAND_5,2.076705872173058,2.2116935585159405
MEX,8,100,CAND_3,1.037359841556769,1.1493344377401398
MEX,9,50,PART,52.878473269614226,54.12614315945968
MEX,9,50,CAND_1,32.37379514403074,33.935316616297285
MEX,9,50,CAND_4,30.26017520748975,31.767014317620887
MEX,9,50,CAND_2,17.475394657943653,18.7916311565382
MEX,9,50,CAND_0,10.904663252846296,11.826678422235636
MEX,9,50,OTROS,2.91859749233077,3.1907266063070754
MEX,9,50,CAND_5,2.108867914822244,2.3208188153470948
MEX,9,50,CAND_3,0.9392896019628436,1.1870307942275553
MEX,9,75,PART,53.25732587466282,54.29392266885261
MEX,9,75,CAND_1,32.958246790188625,34.18552543406989
MEX,9,75,CAND_4,30.1668957185864,31.608423772335858
MEX,9,75,CAND_2,17.215956736973588,18.241915409825864
MEX,9,75,CAND_0,11.059840773961385,12.014465462931556
MEX,9,75,OTROS,2.9207969046486837,3.1637540026211055
MEX,9,75,CAND_5,2.0925238563097577,2.251739802530769
MEX,9,75,CAND_3,0.9622957675694858,1.157619567447019
MEX,9,90,PART,53.304555875203995,54.5164560387252
MEX,9,90,CAND_1,32.87237341674208,34.18483246204558
MEX,9,90,CAND_4,30.504925144406638,31.665694747044963
MEX,9,90,CAND_2,17.211191204543344,18.265741973852325
MEX,9,90,CAND_0,10.965367853327027,11.831606669883424
MEX,9,90,OTROS,2.9122998854068456,3.133883883774968
MEX,9,90,CAND_5,2.1037285228966724,2.241088297745931
MEX,9,90,CAND_3,0.966379323600011,1.1408866147302084
MEX,9,100,PART,53.349985850770125,54.62849463429781
MEX,9,100,CAND_1,33.0113664087502,34.25967162278172
MEX,9,100,CAND_4,30.447926973983527,31.517871838393532
MEX,9,100,CAND_2,17.39946226993444,18.24422746117115
MEX,9,100,CAND_0,10.902243156375087,11.70769602620261
MEX,9,100,OTROS,2.9295548378646816,3.132299520907391
MEX,9,100,CAND_5,2.0824299976056904,2.2316779609350674
MEX,9,100,CAND_3,0.9869107077400787,1.1466612173548325
MEX,10,50,PART,52.39446678999813,53.97208981772973
MEX,10,50,CAND_1,32.40514688042097,33.9649969819973
MEX,10,50,CAND_4,30.793373051000152,32.019471096295256
MEX,10,50,CAND_2,17.295437007283976,18.274525618565708
MEX,10,50,CAND_0,10.868156494746298,12.035478137905987
MEX,10,50,OTROS,2.8490421887777377,3.1002473658228458
MEX,10,50,CAND_5,2.0871908913956325,2.302712244715818
MEX,10,50,CAND_3,0.9143365353581808,1.0898855057141241
MEX,10,75,PART,52.844727593590335,54.39157407752758
MEX,10,75,CAND_1,32.87565696921362,34.283486616817555
MEX,10,75,CAND_4,30.670832786532777,32.0456703900681
MEX,10,75,CAND_2,17.223547887908026,18.226661173989783
MEX,10,75,CAND_0,10.68111944947964,11.695861475828414
MEX,10,75,OTROS,2.8454837436231637,3.0679916735195167
MEX,10,75,CAND_5,2.052169288599353,2.2456962817896806
MEX,10,75,CAND_3,0.9727520874706398,1.1130701751597176
