CIRCUNSCRIPCION|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO_FED|ID_DISTRITO_LOCAL|CABECERA_DISTRITAL|ID_MUNICIPIO|MUNICIPIO|SECCION|TIPO_SECC_Feb2017|CASILLA|PAN|PRI|PRD|PT|PVEM|UDC|NVA_ALIANZA|SI|PPC|PJ|PRC|PCP|MORENA|ES|PAN_UDC_PPC_ES|PAN_UDC_PPC|PAN_UDC_ES|PAN_PPC_ES|UDC_PPC_ES|PAN_UDC|PAN_PPC|PAN_ES|UDC_PPC|UDC_ES|PPC_ES|PRI_PVEM_NVA_ALIANZA_SI_PJ_PRC_PCP|PRI_PVEM_NVA_ALIANZA_SI_PJ_PRC|PRI_PVEM_NVA_ALIANZA_SI_PJ_PCP|PRI_PVEM_NVA_ALIANZA_SI_PRC_PCP|PRI_PVEM_NVA_ALIANZA_PJ_PRC_PCP|PRI_PVEM_SI_PJ_PRC_PCP|PRI_NVA_ALIANZA_SI_PJ_PRC_PCP|PVEM_NVA_ALIANZA_SI_PJ_PRC_PCP|PRI_PVEM_NVA_ALIANZA_SI_PJ|PRI_PVEM_NVA_ALIANZA_SI_PRC|PRI_PVEM_NVA_ALIANZA_SI_PCP|PRI_PVEM_NVA_ALIANZA_PJ_PRC|PRI_PVEM_NVA_ALIANZA_PJ_PCP|PRI_PVEM_NVA_ALIANZA_PRC_PCP|PRI_PVEM_SI_PJ_PRC|PRI_PVEM_SI_PJ_PCP|PRI_PVEM_SI_PRC_PCP|PRI_PVEM_PJ_PRC_PCP|PRI_NVA_ALIANZA_SI_PJ_PRC|PRI_NVA_ALIANZA_SI_PJ_PCP|PRI_NVA_ALIANZA_SI_PRC_PCP|PRI_NVA_ALIANZA_PJ_PRC_PCP|PRI_SI_PJ_PRC_PCP|PVEM_NVA_ALIANZA_SI_PJ_PRC|PVEM_NVA_ALIANZA_SI_PJ_PCP|PVEM_NVA_ALIANZA_SI_PRC_PCP|PVEM_NVA_ALIANZA_PJ_PRC_PCP|PVEM_SI_PJ_PRC_PCP|NVA_ALIANZA_SI_PJ_PRC_PCP|PRI_PVEM_NVA_ALIANZA_SI|PRI_PVEM_NVA_ALIANZA_PJ|PRI_PVEM_NVA_ALIANZA_PRC|PRI_PVEM_NVA_ALIANZA_PCP|PRI_PVEM_SI_PJ|PRI_PVEM_SI_PRC|PRI_PVEM_SI_PCP|PRI_PVEM_PJ_PRC|PRI_PVEM_PJ_PCP|PRI_PVEM_PRC_PCP|PRI_NVA_ALIANZA_SI_PJ|PRI_NVA_ALIANZA_SI_PRC|PRI_NVA_ALIANZA_SI_PCP|PRI_NVA_ALIANZA_PJ_PRC|PRI_NVA_ALIANZA_PJ_PCP|PRI_NVA_ALIANZA_PRC_PCP|PRI_SI_PJ_PRC|PRI_SI_PJ_PCP|PRI_SI_PRC_PCP|PRI_PJ_PRC_PCP|PVEM_NVA_ALIANZA_SI_PJ|PVEM_NVA_ALIANZA_SI_PRC|PVEM_NVA_ALIANZA_SI_PCP|PVEM_NVA_ALIANZA_PJ_PRC|PVEM_NVA_ALIANZA_PJ_PCP|PVEM_NVA_ALIANZA_PRC_PCP|PVEM_SI_PJ_PRC|PVEM_SI_PJ_PCP|PVEM_SI_PRC_PCP|PVEM_PJ_PRC_PCP|NVA_ALIANZA_SI_PJ_PRC|NVA_ALIANZA_SI_PJ_PCP|NVA_ALIANZA_SI_PRC_PCP|NVA_ALIANZA_PJ_PRC_PCP|SI_PJ_PRC_PCP|PRI_PVEM_NVA_ALIANZA|PRI_PVEM_SI|PRI_PVEM_PJ|PRI_PVEM_PRC|PRI_PVEM_PCP|PRI_NVA_ALIANZA_SI|PRI_NVA_ALIANZA_PJ|PRI_NVA_ALIANZA_PRC|PRI_NVA_ALIANZA_PCP|PRI_SI_PJ|PRI_SI_PRC|PRI_SI_PCP|PRI_PJ_PRC|PRI_PJ_PCP|PRI_PRC_PCP|PVEM_NVA_ALIANZA_SI|PVEM_NVA_ALIANZA_PJ|PVEM_NVA_ALIANZA_PRC|PVEM_NVA_ALIANZA_PCP|PVEM_SI_PJ|PVEM_SI_PRC|PVEM_SI_PCP|PVEM_PJ_PRC|PVEM_PJ_PCP|PVEM_PRC_PCP|NVA_ALIANZA_SI_PJ|NVA_ALIANZA_SI_PRC|NVA_ALIANZA_SI_PCP|NVA_ALIANZA_PJ_PRC|NVA_ALIANZA_PJ_PCP|NVA_ALIANZA_PRC_PCP|SI_PJ_PRC|SI_PJ_PCP|SI_PRC_PCP|PJ_PRC_PCP|PRI_PVEM|PRI_NVA_ALIANZA|PRI_SI|PRI_PJ|PRI_PRC|PRI_PCP|PVEM_NVA_ALIANZA|PVEM_SI|PVEM_PJ|PVEM_PRC|PVEM_PCP|NVA_ALIANZA_SI|NVA_ALIANZA_PJ|NVA_ALIANZA_PRC|NVA_ALIANZA_PCP|SI_PJ|SI_PRC|SI_PCP|PJ_PRC|PJ_PCP|PRC_PCP|CAND_IND1|CAND_IND2|NUM_VOTOS_CAN_NREG|NUM_VOTOS_VALIDOS|NUM_VOTOS_NULOS|TOTAL_VOTOS|LISTA_NOMINAL|ESTATUS_ACTA|TEPJF|OBSERVACIONES|RUTA_ACTA|ID_DTTO_FEDERAL_Ago2022|ID_DTTO_LOCAL_Ago2022|ID_MUNICIPIO_Ago2022|MUNICIPIO_Ago2022|SECCION_Ago2022|TIPO_SECC_Ago2022|OBSERVACION_MMGE_Ago2022
2|5|COAHUILA|6|9|TORREON|35|TORREON|1327|U|C01|79|142|3|7|2|1|0|0|0|1|1|0|49|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12|2|0|306|7|313|587|GRUPO DE RECUENTO||||5|9|35|TORREON|1327|U|
2|5|COAHUILA|6|9|TORREON|35|TORREON|1328|U|B|113|83|3|9|7|1|4|0|0|0|1|0|47|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|22|0|0|292|8|300|530|GRUPO DE RECUENTO||||5|9|35|TORREON|1328|U|
2|5|COAHUILA|6|9|TORREON|35|TORREON|1328|U|C01|108|88|3|10|3|1|1|0|0|0|3|0|45|2|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|23|4|0|295|4|299|529|GRUPO DE RECUENTO||||5|9|35|TORREON|1328|U|
2|5|COAHUILA|6|9|TORREON|35|TORREON|1329|U|B|79|211|2|14|13|2|4|0|0|6|4|0|38|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|17|0|0|393|10|403|691|GRUPO DE RECUENTO||||5|9|35|TORREON|1329|U|
2|5|COAHUILA|6|9|TORREON|35|TORREON|1329|U|C01|84|225|3|16|13|1|1|1|0|3|0|0|36|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|15|1|0|400|7|407|691|GRUPO DE RECUENTO||||5|9|35|TORREON|1329|U|
2|5|COAHUILA|6|9|TORREON|35|TORREON|1330|U|B|106|136|7|6|3|0|3|0|0|3|1|1|27|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|21|0|0|315|3|318|540|GRUPO DE RECUENTO||||5|9|35|TORREON|1330|U|
2|5|COAHUILA|6|9|TORREON|35|TORREON|1330|U|C01|106|130|6|11|6|0|1|0|0|0|2|0|46|1|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|14|1|0|328|8|336|539|GRUPO DE RECUENTO||||5|9|35|TORREON|1330|U|
2|5|COAHUILA|6|9|TORREON|35|TORREON|1331|U|B|121|89|4|8|6|0|2|0|3|0|4|0|23|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|21|2|0|284|3|287|509|GRUPO DE RECUENTO||||5|9|35|TORREON|1331|U|
2|5|COAHUILA|6|9|TORREON|35|TORREON|1331|U|C01|114|102|4|7|7|0|4|2|1|0|6|0|36|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|294|5|299|509|GRUPO DE RECUENTO||||5|9|35|TORREON|1331|U|
2|5|COAHUILA|6|9|TORREON|35|TORREON|1332|U|B|125|129|6|6|5|0|2|0|1|1|5|0|63|0|3|0|0|0|0|0|0|0|0|0|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|22|5|0|377|3|380|622|GRUPO DE RECUENTO||||5|9|35|TORREON|1332|U|
