ID_ESTADO,CANDIDATO,PARTIDO
5,CAND_1,PVEM_SI_PJ
5,CAND_1,PVEM_SI_PRC
5,CAND_1,PVEM_SI_PCP
5,CAND_1,PVEM_PJ_PRC
5,CAND_1,PVEM_PJ_PCP
5,CAND_1,PVEM_PRC_PCP
5,CAND_1,NVA_ALIANZA_SI_PJ
5,CAND_1,NVA_ALIANZA_SI_PRC
5,CAND_1,NVA_ALIANZA_SI_PCP
5,CAND_1,NVA_ALIANZA_PJ_PRC
5,CAND_1,NVA_ALIANZA_PJ_PCP
5,CAND_1,NVA_ALIANZA_PRC_PCP
5,CAND_1,SI_PJ_PRC
5,CAND_1,SI_PJ_PCP
5,CAND_1,SI_PRC_PCP
5,CAND_1,PJ_PRC_PCP
5,CAND_1,PRI_PVEM
5,CAND_1,PRI_NVA_ALIANZA
5,CAND_1,PRI_SI
5,CAND_1,PRI_PJ
5,CAND_1,PRI_PRC
5,CAND_1,PRI_PCP
5,CAND_1,PVEM_NVA_ALIANZA
5,CAND_1,PVEM_SI
5,CAND_1,PVEM_PJ
5,CAND_1,PVEM_PRC
5,CAND_1,PVEM_PCP
5,CAND_1,NVA_ALIANZA_SI
5,CAND_1,NVA_ALIANZA_PJ
5,CAND_1,NVA_ALIANZA_PRC
5,CAND_1,NVA_ALIANZA_PCP
5,CAND_1,SI_PJ
5,CAND_1,SI_PRC
5,CAND_1,SI_PCP
5,CAND_1,PJ_PRC
5,CAND_1,PJ_PCP
5,CAND_1,PRC_PCP
5,CAND_2,PRD
5,CAND_3,PT
5,CAND_4,MORENA
5,CAND_5,CAND_IND1
5,CAND_6,CAND_IND2
5,CAND_7,NUM_VOTOS_CAN_NREG
5,CAND_8,NUM_VOTOS_NULOS
